algorithm,env,policy_init,value_init,switch_trigger,handoff_fraction,seeds,auc_mean,auc_ci_low,auc_ci_high,final_mean,final_ci_low,final_ci_high,mean_switch_step
ppo_to_sac,Hopper-v4,distill,random,fixed_fraction,0.5,1,110.27822490531214,110.27822490531214,110.27822490531214,52.036000772598506,52.036000772598506,52.036000772598506,1000.0
ppo_to_sac,Hopper-v4,distill,self-warmup,fixed_fraction,0.5,1,105.13252399789809,105.13252399789809,105.13252399789809,59.5431185629905,59.5431185629905,59.5431185629905,1000.0
ppo_to_sac,Hopper-v4,distill,self-warmup,no-improve,0.75,1,97.20367581842349,97.20367581842349,97.20367581842349,184.27440890298544,184.27440890298544,184.27440890298544,1000.0
ppo_to_sac,Hopper-v4,distill,source-aligned,fixed_fraction,0.5,1,139.15388754974114,139.15388754974114,139.15388754974114,77.44625548654608,77.44625548654608,77.44625548654608,1000.0
