env,method,method_label,n,seeds,final_mean,final_std,final_sem,final_min,final_max,normalized_auc_mean,normalized_auc_std,normalized_auc_sem,convergence_threshold,convergence_reached_n,convergence_step_mean,convergence_step_std
Hopper-v4,sac,SAC,3,0 1 2,3249.214739137818,68.61530744555888,39.61506622422235,3172.4650556767892,3304.6241041173844,2102.7315591515585,230.0367986077823,132.81180759972284,2666.472642723201,3,141666.66666666666,37527.76749732567
Hopper-v4,easy_sac_to_sac,Easy SAC -> SAC,3,0 1 2,3333.090803404001,138.96563084723633,80.23184437775807,3175.3939514855338,3437.634048452385,2133.924772418454,229.508693225921,132.50690581534474,2666.472642723201,3,163333.33333333334,40414.51884327381
Walker2d-v4,sac,SAC,3,0 1 2,3247.509562755074,373.47997436191565,215.62876373478653,2836.222416167894,3565.489477178812,1614.3029318486424,83.82946406126692,48.398963641794516,3092.205647194936,3,380000.0,21794.49471770337
Walker2d-v4,easy_sac_to_sac,Easy SAC -> SAC,3,0 1 2,3865.2570589936695,957.9445085459475,553.0695198777266,2952.391118194845,4862.674790777767,2115.8244519943432,502.37155835076106,290.0443544470237,3092.205647194936,3,271666.6666666667,78475.04911329036
HalfCheetah-v4,sac,SAC,3,0 1 2,8173.936634781559,974.6995145760465,562.743027119478,7067.209767794727,8904.517096610045,6013.847349562814,687.3099409249971,396.8185794097529,6862.630510610111,3,293333.3333333333,136045.33558095014
HalfCheetah-v4,easy_sac_to_sac,Easy SAC -> SAC,3,0 1 2,8578.288138262638,219.850756147765,126.9308932434549,8355.214737689923,8794.767910957029,6542.935790839841,274.3700377061899,158.40761512723654,6862.630510610111,3,188333.33333333334,41932.48541803042
HalfCheetah-v4,bc_to_sac,BC -> SAC,3,0 1 2,7679.8937498872265,1795.3763766840327,1036.5610343752212,5689.101279076431,9176.224449646366,5604.044465049864,1236.4068311431427,713.8398167883856,6862.630510610111,2,225000.0,49497.474683058324
Ant-v4,sac,SAC,3,0 1 2,3546.9994319357806,756.3330753380596,436.66910464344625,2997.415654466592,4409.590584456363,2300.110016642792,274.43837228097294,158.44706811238245,2837.5995455486245,3,261666.66666666666,55302.20007679019
